TIMW;26;2010-9-2 18:52:38;2010-9-2 19:11:34;00:18:56;04EA8ED1232580;
TIMW;26;2010-9-3 12:01:30;2010-9-3 12:32:57;00:31:27;0463BCD1232580;
TIMW;26;2010-9-3 16:29:54;2010-9-3 16:58:19;00:28:25;04CDBBD1232580;
TIMW;26;2010-9-3 18:04:53;2010-9-3 18:30:19;00:25:26;04B1BCD1232580;
TIMW;26;2010-9-4 09:47:55;2010-9-4 10:16:23;00:28:28;04EE91D1232580;
TIMW;26;2010-9-4 11:12:01;2010-9-4 11:38:28;00:26:27;04FA91D1232580;
TIMW;26;2010-9-5 10:20:59;2010-9-5 10:46:39;00:25:40;0400BCD1232581;
TIMW;26;2010-9-5 11:04:39;2010-9-5 11:25:54;00:21:15;048CBBD1232580;
TIMW;26;2010-9-5 12:16:24;2010-9-5 12:40:59;00:24:35;04DABCD1232580;
TIMW;26;2010-9-5 13:39:31;2010-9-5 14:07:11;00:27:40;04CDBBD1232580;
TIMW;26;2010-9-5 15:29:29;2010-9-5 15:56:40;00:27:11;04EC8ED1232580;
TIMW;26;2010-9-5 15:59:23;2010-9-5 16:24:59;00:25:36;0469BCD1232580;
TIMW;26;2010-9-5 16:48:49;2010-9-5 17:13:13;00:24:24;047692D1232580;
TIMW;26;2010-9-5 16:47:37;2010-9-5 17:16:14;00:28:37;04F291D1232580;
TIMW;26;2010-9-5 20:17:03;2010-9-5 20:36:26;00:19:23;041EBCD1232580;
TIMW;26;2010-9-7 17:29:54;2010-9-7 17:58:11;00:28:17;04AB8FD1232580;
TIMW;26;2010-9-7 19:25:12;2010-9-7 19:52:59;00:27:47;041892D1232581;
TIMW;26;2010-9-8 17:46:13;2010-9-8 18:11:33;00:25:20;04DABCD1232580;
